MaPhim,MaQuocGia
496243,KR
335983,CN
324786,CN
466272,CN
228150,CN
293167,CN
110415,KR
47971,CN
670,KR
315837,CN
257344,CN
345940,CN
339964,CN
282035,CN
396535,KR
68735,CN
337401,CN
419704,CN
38575,CN
373571,CN
324668,CN
140300,CN
157353,CN
311324,CN
453405,CN
338762,CN
290859,CN
290595,CN
343611,CN
479455,CN
369885,CN
1735,CN
387426,KR
639933,CN
522938,CN
14756,CN
396371,CN
11423,KR
290098,KR
458576,CN
146,CN
516486,CN
1255,KR
2044,KR
9470,CN
379149,CN
68737,CN
365942,CN
49797,KR
325348,CN
581392,KR
257088,CN
37472,CN
615656,CN
79,CN
347375,CN
399402,CN
460668,CN
339967,KR
458594,CN
431580,CN
437557,CN
10027,CN
449924,CN
395458,CN
614696,KR
365222,CN
1729,CN
293670,KR
4550,KR
9550,CN
501907,CN
491584,KR
287948,CN
316152,CN
316152,KR
522518,CN
1985,CN
440471,CN
30018,KR
565310,CN
4689,KR
290751,KR
300681,CN
560050,CN
471506,KR
51608,KR
13855,KR
7549,CN
550205,CN
555974,CN
423899,CN
200085,KR
7979,CN
14202,CN
1280,KR
4552,KR
755812,KR
441130,CN
508763,CN
308504,KR
322240,CN
486589,KR
556694,CN
113,KR
412988,CN
271404,CN
488623,KR
581389,KR
705996,KR
227783,KR
397567,KR
437068,KR
615904,CN
666243,KR
76544,CN
22536,KR
581528,KR
535167,CN
844,CN
254375,CN
44865,CN
11344,KR
480042,CN
457332,CN
12289,CN
12289,KR
98567,CN
76758,CN
523777,CN
3603,KR
1989,CN
575604,KR
1494,CN
15067,KR
11636,CN
245842,CN
42194,CN
18438,KR
270774,CN
4588,CN
2440,KR
437109,KR
11658,KR
263341,CN
470114,CN
496450,CN
726684,CN
726684,KR
255709,KR
46528,KR
89708,CN
89708,KR
508642,KR
745881,KR
81481,KR
390497,KR
293767,CN
518068,KR
449985,CN
851644,KR
448776,CN
300168,CN
513347,CN
11178,KR
581387,KR
843794,KR
426284,KR
450001,CN
31967,KR
253450,CN
845222,KR
604822,CN
460648,CN
241254,KR
5488,KR
530254,KR
632322,CN
57361,KR
289720,CN
568300,KR
566454,CN
271706,CN
33196,KR
573699,CN
429450,KR
611291,KR
15384,CN
15384,KR
454458,CN
553512,KR
165213,KR
269494,KR
389868,KR
290864,CN
32909,CN
158445,KR
428045,CN
663558,CN
335777,KR
615453,CN
10253,KR
575813,CN
48492,CN
842675,CN
309302,CN
381890,CN
59421,KR
360638,CN
94047,KR
30596,CN
14197,KR
518896,CN
383785,CN
383785,KR
170657,CN
33908,KR
463319,CN
123377,KR
11653,CN
55292,CN
413658,CN
1450,CN
219572,CN
276905,CN
849869,KR
736732,KR
800345,KR
334298,CN
47854,CN
665399,KR
575428,CN
620249,CN
479718,KR
204553,KR
35854,CN
18377,KR
363579,KR
938008,KR
14392,CN
45202,KR
8653,KR
585077,CN
571785,KR
187022,CN
435366,KR
15859,KR
35138,CN
441393,CN
47909,KR
14310,CN
408266,CN
333667,CN
140212,KR
795607,CN
626872,KR
452015,KR
811634,CN
8198,VN
124157,KR
432836,KR
799379,KR
467824,KR
282631,KR
86000,KR
366672,CN
217923,CN
154030,KR
366668,CN
70057,CN
740441,KR
51533,CN
396194,CN
110410,CN
128246,KR
604872,CN
351694,CN
338729,KR
460555,CN
452557,CN
16411,CN
611698,CN
436391,KR
760517,KR
25649,KR
255756,CN
415214,CN
567646,KR
79224,KR
570503,KR
467012,KR
19595,KR
75948,CN
554908,KR
571627,KR
952701,KR
44092,CN
21531,KR
571648,KR
606523,KR
508935,CN
41245,KR
486898,CN
331576,CN
26955,KR
214910,KR
345934,CN
215743,KR
209764,KR
989937,KR
291549,KR
299824,CN
611395,CN
8938,KR
740658,CN
572164,KR
628704,KR
21345,CN
314388,CN
363093,KR
25648,KR
518764,CN
335462,CN
666277,KR
119892,CN
550738,CN
435601,KR
17108,CN
615173,KR
408355,CN
409582,CN
92499,KR
619803,KR
586047,KR
37034,CN
492008,KR
1279,KR
81870,CN
407887,KR
453127,KR
2015,KR
285213,KR
499028,KR
265851,KR
160704,KR
552269,CN
105001,CN
511819,CN
730647,KR
436994,KR
15860,CN
412094,KR
464593,CN
259943,CN
34179,CN
842033,KR
638134,CN
499556,CN
79553,KR
513692,CN
23538,KR
346646,KR
832502,CN
862855,CN
199584,KR
757860,CN
506763,CN
581531,KR
14968,KR
315064,CN
537190,KR
635389,CN
1963,KR
294992,CN
718867,KR
572468,KR
430826,CN
581526,KR
601796,KR
51200,KR
523593,KR
567973,VN
493899,CN
53807,CN
242452,KR
195276,KR
517991,KR
44560,CN
342657,KR
606402,KR
134126,KR
10703,CN
10703,KR
21115,KR
452551,CN
532444,KR
11297,KR
25597,KR
38407,CN
50475,KR
33251,KR
571625,KR
294993,CN
364324,CN
452558,CN
591120,KR
931102,CN
242454,KR
441531,CN
435841,KR
89501,KR
355277,CN
504056,CN
375107,CN
16138,KR
1022102,KR
664236,CN
42190,KR
438857,CN
662237,KR
32272,KR
556509,KR
535389,KR
500168,KR
452910,CN
714187,KR
272691,KR
487786,CN
298721,KR
25838,CN
13405,CN
773867,KR
627087,CN
248376,CN
566368,CN
76349,CN
291692,CN
12650,KR
47261,KR
654739,KR
357940,CN
366644,CN
77117,KR
133200,KR
821661,KR
532753,CN
286654,CN
459073,KR
629028,KR
606403,KR
354275,KR
14258,KR
266058,KR
430474,CN
256561,CN
658009,CN
528210,CN
549484,CN
324325,KR
448491,KR
437108,KR
557968,KR
17808,CN
2346,CN
607844,KR
437103,KR
10103,KR
202220,CN
559974,CN
870096,CN
19486,KR
17903,KR
727340,KR
497370,KR
369552,CN
508747,CN
20605,KR
50542,CN
372782,CN
382217,KR
434773,KR
124294,KR
569016,KR
377447,CN
542836,KR
758891,CN
525660,CN
79374,KR
560527,KR
222216,CN
1436,CN
1436,KR
497984,CN
563103,KR
257932,CN
437081,KR
14044,CN
14044,KR
559957,CN
939984,KR
589712,CN
13970,KR
5937,CN
40171,KR
14538,CN
14538,KR
107235,KR
267467,KR
513386,CN
512901,CN
724885,KR
421928,KR
945675,CN
406429,CN
955555,KR
990140,CN
554972,KR
451997,KR
29363,CN
38057,CN
235704,KR
293413,KR
33870,CN
281780,KR
18419,CN
623135,KR
50090,KR
11599,CN
604360,KR
812204,CN
561974,KR
31850,KR
121823,CN
1064835,KR
19644,KR
362178,CN
942922,KR
426166,KR
16632,KR
566397,KR
244114,CN
2008,CN
2008,KR
32242,KR
503917,CN
252067,KR
574303,KR
14539,CN
118624,KR
928720,CN
103753,KR
557972,KR
253065,KR
373200,CN
45380,CN
1066298,CN
196325,CN
367206,CN
151743,CN
62977,CN
229304,KR
18704,KR
378348,KR
34182,CN
27428,KR
473920,CN
434119,KR
14573,KR
585831,KR
313108,KR
603768,CN
362682,CN
449927,CN
331251,KR
523873,CN
14449,CN
603772,CN
191421,CN
89623,KR
16318,KR
45035,KR
518963,KR
435800,CN
19508,KR
337302,CN
32237,KR
284063,KR
121491,KR
336744,KR
377213,KR
72066,KR
856289,CN
559937,CN
62439,KR
14797,CN
188183,CN
25647,KR
19611,CN
416249,CN
61062,KR
348689,KR
24889,CN
32582,CN
382220,KR
505513,CN
362154,CN
345235,CN
257648,CN
863291,KR
214209,KR
26040,KR
220176,KR
181009,CN
18374,KR
381902,CN
591222,CN
531384,CN
438798,KR
44656,KR
589594,CN
408620,KR
457251,CN
538331,CN
360551,KR
267573,KR
18426,KR
49087,KR
547404,KR
213015,CN
315439,KR
483297,KR
576393,CN
18384,KR
149085,CN
281298,KR
586048,KR
204260,KR
461714,CN
457832,CN
55758,KR
171587,KR
58882,CN
116227,KR
529569,KR
457837,CN
783753,KR
122126,KR
64792,KR
488621,KR
478187,KR
212769,KR
75931,KR
434221,CN
14808,CN
14808,KR
19528,CN
19635,KR
567629,KR
120143,CN
844069,KR
575089,CN
32170,KR
377823,CN
965143,KR
297721,KR
118451,KR
40211,KR
290865,KR
133601,KR
538235,KR
662401,KR
490214,CN
23834,KR
17593,KR
38015,KR
591322,KR
602302,KR
124471,CN
399300,CN
273197,CN
451957,KR
17422,CN
14226,CN
1416,KR
805058,KR
373922,CN
238811,CN
413198,CN
779029,CN
18232,CN
18060,CN
606740,KR
74860,KR
839976,KR
400114,CN
300433,KR
602291,KR
605375,CN
21781,KR
544627,KR
652783,CN
27316,KR
639557,CN
773569,CN
509467,KR
310001,CN
310001,KR
49214,KR
52663,KR
573668,CN
593680,CN
77175,KR
434724,KR
25650,KR
108972,KR
535170,CN
104176,KR
554779,KR
758902,CN
18840,CN
52414,KR
33106,CN
272875,CN
136793,KR
531368,CN
51306,CN
85525,KR
12659,CN
38963,KR
91088,KR
544812,VN
575754,KR
44555,CN
843388,KR
54328,CN
17082,CN
40452,KR
541340,CN
541340,KR
338803,KR
23132,KR
636173,KR
74639,CN
315669,CN
835786,CN
455043,CN
570508,KR
37284,KR
80427,CN
226672,CN
41292,CN
344556,CN
129850,CN
471335,KR
32173,KR
473328,CN
602666,CN
32161,KR
45098,KR
21792,KR
8652,KR
54330,KR
336055,KR
54117,KR
554205,CN
822138,CN
83754,KR
68252,KR
45682,CN
138665,KR
543583,CN
348595,CN
16074,CN
875104,CN
483539,KR
75821,KR
581530,KR
267466,KR
866408,CN
767585,CN
284278,CN
18422,KR
507773,KR
572151,KR
140380,KR
16321,CN
292362,CN
14763,CN
14763,KR
390845,KR
269955,KR
2111,CN
432507,KR
575219,CN
385261,KR
34899,VN
45438,CN
21707,KR
322487,KR
408360,KR
48508,KR
340746,KR
146724,KR
551653,CN
928123,CN
33171,KR
209049,CN
53514,KR
56790,KR
139329,CN
91073,CN
91073,KR
361613,CN
103750,KR
376494,KR
284298,CN
568320,KR
574037,CN
571786,KR
81460,KR
633374,KR
535550,KR
345888,KR
35010,KR
312408,CN
83721,CN
136701,CN
503235,CN
45576,CN
578906,CN
61952,KR
28796,KR
667717,CN
387886,KR
470524,KR
575718,KR
491305,CN
468208,CN
18302,KR
43987,KR
58959,KR
269711,KR
85550,KR
801803,CN
384127,KR
859041,CN
23609,KR
81242,KR
16404,KR
50476,KR
668047,KR
32158,KR
16882,KR
417419,CN
435809,KR
394170,KR
18385,CN
18385,KR
26138,KR
299738,CN
612845,CN
460557,CN
284135,KR
287649,KR
8900,KR
58700,KR
30843,KR
478826,CN
261041,CN
606906,KR
193717,KR
806690,CN
132601,KR
264273,KR
259129,KR
388764,CN
388764,KR
388403,CN
752803,CN
25626,CN
414105,KR
923344,KR
24822,KR
437633,KR
269340,KR
578209,KR
571787,KR
55741,CN
18816,CN
42507,KR
602508,KR
604362,KR
479306,CN
51885,CN
51520,CN
252168,CN
554137,KR
107976,KR
467199,KR
21797,KR
22520,KR
64882,KR
385962,KR
11492,CN
29972,CN
417199,KR
602295,KR
589174,KR
52444,KR
53267,KR
52413,KR
411268,CN
