MaPhim,MaTheLoai
496243,G004
496243,G017
496243,G007
335983,G015
335983,G001
324786,G007
324786,G010
324786,G018
466272,G004
466272,G007
466272,G017
228150,G018
228150,G007
228150,G001
293167,G001
293167,G002
293167,G009
110415,G001
110415,G015
110415,G007
47971,G001
47971,G002
47971,G005
670,G007
670,G017
670,G013
670,G001
315837,G015
315837,G007
315837,G001
257344,G001
257344,G004
257344,G015
345940,G001
345940,G015
345940,G011
339964,G002
339964,G015
339964,G001
282035,G009
282035,G017
282035,G001
282035,G002
282035,G011
396535,G011
396535,G017
396535,G001
396535,G002
68735,G001
68735,G002
68735,G009
337401,G002
337401,G009
337401,G007
337401,G001
419704,G015
419704,G007
38575,G001
38575,G002
38575,G007
38575,G008
373571,G015
373571,G001
324668,G001
324668,G017
324668,G013
324668,G007
140300,G001
140300,G002
140300,G003
140300,G004
140300,G008
157353,G017
157353,G015
157353,G007
157353,G013
311324,G001
311324,G002
311324,G009
453405,G015
453405,G001
453405,G002
453405,G017
338762,G001
338762,G015
338762,G002
290859,G015
290859,G001
290595,G001
290595,G002
290595,G007
343611,G001
343611,G017
479455,G004
479455,G015
479455,G001
369885,G001
369885,G007
369885,G018
369885,G014
369885,G017
1735,G002
1735,G001
1735,G009
387426,G002
387426,G007
387426,G015
387426,G009
639933,G001
639933,G002
639933,G009
522938,G001
522938,G017
522938,G007
14756,G007
14756,G001
14756,G010
396371,G007
396371,G005
11423,G005
11423,G007
11423,G017
290098,G017
290098,G007
290098,G014
458576,G001
458576,G009
458576,G002
146,G002
146,G007
146,G001
146,G014
516486,G018
516486,G001
516486,G007
1255,G011
1255,G007
1255,G015
2044,G007
2044,G013
2044,G014
9470,G001
9470,G004
9470,G005
9470,G009
379149,G001
379149,G017
68737,G002
68737,G009
365942,G014
365942,G002
365942,G015
365942,G007
49797,G017
49797,G011
325348,G001
325348,G002
325348,G015
581392,G011
581392,G002
581392,G001
581392,G017
257088,G001
257088,G002
257088,G005
257088,G017
37472,G001
37472,G010
37472,G007
615656,G001
615656,G015
615656,G011
79,G007
79,G002
79,G001
79,G010
347375,G001
347375,G017
399402,G001
399402,G017
460668,G004
460668,G014
339967,G007
339967,G009
339967,G015
458594,G001
458594,G017
431580,G008
431580,G003
431580,G002
431580,G004
437557,G004
10027,G001
10027,G005
449924,G001
449924,G007
449924,G010
395458,G017
395458,G005
395458,G007
395458,G013
614696,G011
614696,G001
614696,G002
614696,G017
365222,G001
365222,G007
365222,G010
1729,G001
1729,G002
1729,G009
293670,G011
293670,G013
4550,G007
4550,G017
9550,G002
9550,G007
9550,G001
501907,G007
501907,G010
491584,G013
491584,G007
491584,G017
287948,G001
287948,G017
287948,G005
316152,G001
316152,G007
316152,G010
316152,G018
522518,G008
522518,G002
522518,G007
1985,G007
1985,G013
1985,G017
440471,G001
440471,G017
440471,G013
30018,G005
30018,G007
30018,G013
30018,G017
565310,G004
565310,G007
4689,G001
4689,G007
4689,G017
290751,G017
290751,G013
290751,G007
290751,G005
300681,G015
300681,G017
300681,G007
560050,G003
560050,G002
560050,G008
560050,G009
471506,G013
471506,G017
471506,G011
51608,G001
51608,G017
51608,G005
13855,G005
13855,G017
13855,G001
7549,G007
7549,G001
550205,G003
550205,G008
550205,G004
550205,G009
555974,G011
555974,G013
555974,G017
423899,G007
423899,G010
200085,G001
200085,G002
200085,G015
7979,G007
14202,G014
14202,G007
1280,G007
1280,G014
1280,G005
4552,G007
4552,G011
4552,G013
755812,G003
755812,G016
755812,G009
755812,G001
441130,G003
441130,G008
441130,G002
441130,G009
508763,G007
508763,G002
508763,G008
308504,G001
308504,G002
322240,G009
322240,G004
322240,G008
486589,G003
486589,G014
486589,G008
486589,G004
486589,G009
556694,G007
556694,G002
556694,G009
556694,G014
113,G007
412988,G001
412988,G004
412988,G005
271404,G001
271404,G015
271404,G002
488623,G017
488623,G013
488623,G007
581389,G007
581389,G009
581389,G015
705996,G017
705996,G013
705996,G014
227783,G003
227783,G004
227783,G008
227783,G002
397567,G001
397567,G002
397567,G009
397567,G017
437068,G001
437068,G007
437068,G010
615904,G014
615904,G004
615904,G012
666243,G003
666243,G001
666243,G009
76544,G001
76544,G007
22536,G007
22536,G011
22536,G017
581528,G005
581528,G001
