MaPhim,TenPhim,TenPhimHienThi,TenGoc,TenPhimTiengAnh,TenPhimHienThiCuoi,TomTatNoiDung,TomTatNoiDungTiengAnh,CauGioiThieu,TrangThai,PhimNguoiLon,NgonNguGoc,TrangChu,MaIMDb,MaIMDbAPI,DuongDanPoster,DuongDanAnhNen,CanBoSungTenTiengAnh,DaBoSungTuAPI,NguonBoSung
496243,Parasite,Parasite,기생충,,Parasite,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",,Act like you own the place.,Released,False,ko,https://www.parasite-movie.com/,tt6751668,,/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg,/hiKmpZMGZsrkA3cdce8a7Dpos1j.jpg,False,False,
335983,Venom,Venom,Venom,,Venom,"Investigative journalist Eddie Brock attempts a comeback following a scandal, but accidentally becomes the host of Venom, a violent, super powerful alien symbiote. Soon, he must rely on his newfound powers to protect the world from a shadowy organization looking for a symbiote of their own.",,The world has enough Superheroes.,Released,False,en,https://www.sonypictures.com/movies/venom,tt1270797,,/2uNW4WbgBXL25BAbXGLnLqX71Sw.jpg,/VuukZLgaCrho2Ar8Scl9HtV3yD.jpg,False,False,
324786,Hacksaw Ridge,Hacksaw Ridge,Hacksaw Ridge,,Hacksaw Ridge,"WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first Conscientious Objector in American history to receive the Congressional Medal of Honor.",,One of the greatest heroes in American history never fired a bullet.,Released,False,en,https://www.lionsgate.com/movies/hacksaw-ridge,tt2119532,,/jcStBvbQt78tPeId5hC7a9jcDOK.jpg,/rshlQ6LfPRSWFhpGL4s5ZkIPR51.jpg,False,False,
466272,Once Upon a Time… in Hollywood,Once Upon a Time… in Hollywood,Once Upon a Time… in Hollywood,,Once Upon a Time… in Hollywood,"Los Angeles, 1969. TV star Rick Dalton, a struggling actor specializing in westerns, and stuntman Cliff Booth, his best friend, try to survive in a constantly changing movie industry. Dalton is the neighbor of the young and promising actress and model Sharon Tate, who has just married the prestigious Polish director Roman Polanski…",,"In this town, it can all change… like that",Released,False,en,https://www.sonypictures.com/movies/onceuponatimeinhollywood,tt7131622,,/8j58iEBw9pOXFD2L0nt0ZXeHviB.jpg,/xwgBHC2FgoIrQitl8jZwXXdsR9u.jpg,False,False,
228150,Fury,Fury,Fury,,Fury,"In the last months of World War II, as the Allies make their final push in the European theatre, a battle-hardened U.S. Army sergeant named 'Wardaddy' commands a Sherman tank called 'Fury' and its five-man crew on a deadly mission behind enemy lines. Outnumbered and outgunned, Wardaddy and his men face overwhelming odds in their heroic attempts to strike at the heart of Nazi Germany.",,War never ends quietly.,Released,False,en,,tt2713180,,/pfte7wdMobMF4CVHuOxyu6oqeeA.jpg,/kdbLf3aTQsEXqYlH9vA4fzmnSFz.jpg,False,False,
293167,Kong: Skull Island,Kong: Skull Island,Kong: Skull Island,,Kong: Skull Island,"Explore the mysterious and dangerous home of the king of the apes as a team of explorers ventures deep inside the treacherous, primordial island.",,All hail the king,Released,False,en,http://kongskullislandmovie.com/,tt3731562,,/r2517Vz9EhDhj88qwbDVj8DCRZN.jpg,/jks6QgJjsaDC5iT6bxLsSS0eo6L.jpg,False,False,
110415,Snowpiercer,Snowpiercer,Snowpiercer,,Snowpiercer,"In a future where a failed global-warming experiment kills off most life on the planet, a class system evolves aboard the Snowpiercer, a train that travels around the globe via a perpetual-motion engine.",,"AD 2031, the passengers in the train are the only survivors on Earth.",Released,False,ko,,tt1706620,,/9JPx09Rr0Txq2eSQfjq1DEBR5cx.jpg,/55vkNtb83bSwbdWrQTVZTGLBcLx.jpg,False,False,
47971,xXx: Return of Xander Cage,xXx: Return of Xander Cage,xXx: Return of Xander Cage,,xXx: Return of Xander Cage,"Extreme athlete turned government operative Xander Cage comes out of self-imposed exile, thought to be long dead, and is set on a collision course with deadly alpha warrior Xiang and his team in a race to recover a sinister and seemingly unstoppable weapon known as Pandora's Box. Recruiting an all-new group of thrill-seeking cohorts, Xander finds himself enmeshed in a deadly conspiracy that points to collusion at the highest levels of world governments.",,"There are no more patriots, just rebels and tyrants.",Released,False,en,,tt1293847,,/hba8zREJpP1AYhaXgb2oJLQeO0K.jpg,/4QLdZ2A8mkDWp2rpfgDrwmeCtUW.jpg,False,False,
670,Oldboy,Oldboy,올드보이,,Oldboy,"With no clue how he came to be imprisoned, drugged and tortured for 15 years, a desperate businessman seeks revenge on his captors.",,"Laugh, and the world laughs with you. Weep, and you weep alone.",Released,False,ko,,tt0364569,,/pWDtjs568ZfOTMbURQBYuT4Qxka.jpg,/sdwjQEM869JFwMytTmvr6ggvaUl.jpg,False,False,
315837,Ghost in the Shell,Ghost in the Shell,Ghost in the Shell,,Ghost in the Shell,"In the near future, Major is the first of her kind: a human saved from a terrible crash, then cyber-enhanced to be a perfect soldier devoted to stopping the world's most dangerous criminals.",,There's nothing sadder than a puppet without a ghost.,Released,False,en,http://www.ghostintheshellmovie.com/,tt1219827,,/myRzRzCxdfUWjkJWgpHHZ1oGkJd.jpg,/dDVqfmCzSy3TKSmiS2pJ9QB5E3P.jpg,False,False,
