MaPhim,NgayPhatHanh,NamPhatHanh,DiemDanhGiaTB,SoLuotDanhGia,DuSoLuotDanhGia,DoPhoBien,ThoiLuong,ThoiLuongAPI,ThoiLuongPhanTich,NguonThoiLuong,NganSach,NganSachAPI,NganSachPhanTich,NguonNganSach,DoanhThu,DoanhThuAPI,DoanhThuPhanTich,NguonDoanhThu,LoiNhuan,TySuatDoanhThuNganSach,CoThoiLuong,CoNganSach,CoDoanhThu,ThoiLuongBatThuong,NhomDiemDanhGia,NhomDoPhoBien,NhomThoiLuong,NhomDoanhThu
496243,2019-05-30,2019,8.515,16430,True,64.627,133.0,,133,Gốc,11363000.0,,11363000,Gốc,257591776.0,,257591776,Gốc,246228776,22.669345771363197,True,True,True,False,Cao,Cao,Dai,Cao
335983,2018-09-28,2018,6.826,14724,True,48.649,112.0,,112,Gốc,116000000.0,,116000000,Gốc,856085151.0,,856085151,Gốc,740085151,7.380044405172414,True,True,True,False,Trung binh,Cao,Dai,Cao
324786,2016-10-07,2016,8.195,12668,True,74.994,139.0,,139,Gốc,40000000.0,,40000000,Gốc,175302354.0,,175302354,Gốc,135302354,4.38255885,True,True,True,False,Cao,Cao,Dai,Cao
466272,2019-07-24,2019,7.437,12237,True,47.706,162.0,,162,Gốc,95000000.0,,95000000,Gốc,374251247.0,,374251247,Gốc,279251247,3.939486810526316,True,True,True,False,Cao,Cao,Dai,Cao
228150,2014-10-15,2014,7.518,11021,True,90.378,135.0,,135,Gốc,68000000.0,,68000000,Gốc,211817906.0,,211817906,Gốc,143817906,3.114969205882353,True,True,True,False,Cao,Cao,Dai,Cao
293167,2017-03-08,2017,6.514,9696,True,39.514,118.0,,118,Gốc,185000000.0,,185000000,Gốc,566652812.0,,566652812,Gốc,381652812,3.062988172972973,True,True,True,False,Trung binh,Cao,Dai,Cao
110415,2013-08-01,2013,6.902,8905,True,34.597,127.0,,127,Gốc,39200000.0,,39200000,Gốc,86758912.0,,86758912,Gốc,47558912,2.2132375510204083,True,True,True,False,Trung binh,Cao,Dai,Cao
47971,2017-01-13,2017,6.138,8541,True,60.062,107.0,,107,Gốc,85000000.0,,85000000,Gốc,346147658.0,,346147658,Gốc,261147658,4.072325388235294,True,True,True,False,Trung binh,Cao,Dai,Cao
670,2003-11-21,2003,8.274,7790,True,53.128,120.0,,120,Gốc,3000000.0,,3000000,Gốc,15194593.0,,15194593,Gốc,12194593,5.064864333333333,True,True,True,False,Cao,Cao,Dai,Trung binh
315837,2017-03-29,2017,6.066,7581,True,32.851,107.0,,107,Gốc,110000000.0,,110000000,Gốc,169801921.0,,169801921,Gốc,59801921,1.5436538272727274,True,True,True,False,Trung binh,Cao,Dai,Cao
257344,2015-07-16,2015,5.716,7061,True,32.028,105.0,,105,Gốc,88000000.0,,88000000,Gốc,244874809.0,,244874809,Gốc,156874809,2.782668284090909,True,True,True,False,Trung binh,Cao,Trung binh,Cao
345940,2018-08-09,2018,6.256,7018,True,101.431,113.0,,113,Gốc,150000000.0,,150000000,Gốc,530517320.0,,530517320,Gốc,380517320,3.5367821333333334,True,True,True,False,Trung binh,Cao,Dai,Cao
339964,2017-07-20,2017,6.625,6987,True,36.195,136.0,,136,Gốc,177200000.0,,177200000,Gốc,225973340.0,,225973340,Gốc,48773340,1.2752445823927765,True,True,True,False,Trung binh,Cao,Dai,Cao
282035,2017-06-06,2017,5.507,6741,True,21.893,110.0,,110,Gốc,125000000.0,,125000000,Gốc,409231607.0,,409231607,Gốc,284231607,3.273852856,True,True,True,False,Trung binh,Cao,Dai,Cao
396535,2016-07-20,2016,7.8,6694,True,49.553,118.0,,118,Gốc,8500000.0,,8500000,Gốc,87547518.0,,87547518,Gốc,79047518,10.299708,True,True,True,False,Cao,Cao,Dai,Cao
68735,2016-05-25,2016,6.364,6340,True,37.312,123.0,,123,Gốc,160000000.0,,160000000,Gốc,433677183.0,,433677183,Gốc,273677183,2.71048239375,True,True,True,False,Trung binh,Cao,Dai,Cao
337401,2020-09-04,2020,6.906,6280,True,43.222,115.0,,115,Gốc,200000000.0,,200000000,Gốc,66800000.0,,66800000,Gốc,-133200000,0.334,True,True,True,False,Trung binh,Cao,Dai,Cao
419704,2019-09-17,2019,6.1,6143,True,11.084,123.0,,123,Gốc,87500000.0,,87500000,Gốc,127461872.0,,127461872,Gốc,39961872,1.4567071085714285,True,True,True,False,Trung binh,Cao,Dai,Cao
38575,2010-06-10,2010,6.527,5545,True,49.169,140.0,,140,Gốc,40000000.0,,40000000,Gốc,359126022.0,,359126022,Gốc,319126022,8.97815055,True,True,True,False,Trung binh,Cao,Dai,Cao
373571,2019-05-29,2019,6.674,5479,True,53.983,132.0,,132,Gốc,170000000.0,,170000000,Gốc,386600138.0,,386600138,Gốc,216600138,2.2741184588235295,True,True,True,False,Trung binh,Cao,Dai,Cao
324668,2016-07-27,2016,6.329,5362,True,28.778,123.0,,123,Gốc,120000000.0,,120000000,Gốc,415484914.0,,415484914,Gốc,295484914,3.4623742833333333,True,True,True,False,Trung binh,Cao,Dai,Cao
140300,2016-01-23,2016,6.878,5327,True,45.002,95.0,,95,Gốc,145000000.0,,145000000,Gốc,521170825.0,,521170825,Gốc,376170825,3.594281551724138,True,True,True,False,Trung binh,Cao,Trung binh,Cao
157353,2014-04-16,2014,6.029,5102,True,20.628,119.0,,119,Gốc,100000000.0,,100000000,Gốc,103039258.0,,103039258,Gốc,3039258,1.03039258,True,True,True,False,Trung binh,Cao,Dai,Cao
311324,2016-12-16,2016,6.005,4748,True,32.601,103.0,,103,Gốc,150000000.0,,150000000,Gốc,331957105.0,,331957105,Gốc,181957105,2.213047366666667,True,True,True,False,Trung binh,Cao,Trung binh,Cao
453405,2019-10-02,2019,6.311,4718,True,23.667,117.0,,117,Gốc,140000000.0,,140000000,Gốc,173469516.0,,173469516,Gốc,33469516,1.2390679714285715,True,True,True,False,Trung binh,Cao,Dai,Cao
338762,2020-03-05,2020,6.76,4681,True,29.852,110.0,,110,Gốc,42000000.0,,42000000,Gốc,39861118.0,,39861118,Gốc,-2138882,0.949074238095238,True,True,True,False,Trung binh,Cao,Dai,Cao
290859,2019-10-23,2019,6.455,4652,True,39.447,128.0,,128,Gốc,185000000.0,,185000000,Gốc,261119292.0,,261119292,Gốc,76119292,1.4114556324324323,True,True,True,False,Trung binh,Cao,Dai,Cao
290595,2016-04-06,2016,6.288,4573,True,23.024,114.0,,114,Gốc,115000000.0,,115000000,Gốc,164989338.0,,164989338,Gốc,49989338,1.4346898956521739,True,True,True,False,Trung binh,Cao,Dai,Cao
343611,2016-10-19,2016,5.945,4489,True,57.904,118.0,,118,Gốc,60000000.0,,60000000,Gốc,162146076.0,,162146076,Gốc,102146076,2.7024346,True,True,True,False,Trung binh,Cao,Dai,Cao
479455,2019-06-12,2019,5.937,4478,True,24.845,115.0,,115,Gốc,110000000.0,,110000000,Gốc,253890701.0,,253890701,Gốc,143890701,2.3080972818181817,True,True,True,False,Trung binh,Cao,Dai,Cao
369885,2016-11-17,2016,6.8,4251,True,13.298,124.0,,124,Gốc,85000000.0,,85000000,Gốc,119520023.0,,119520023,Gốc,34520023,1.4061179176470588,True,True,True,False,Trung binh,Cao,Dai,Cao
1735,2008-07-01,2008,5.469,4121,True,34.964,112.0,,112,Gốc,145000000.0,,145000000,Gốc,403449830.0,,403449830,Gốc,258449830,2.782412620689655,True,True,True,False,Trung binh,Cao,Dai,Cao
387426,2017-06-28,2017,7.389,3999,True,18.143,122.0,,122,Gốc,50000000.0,,50000000,Gốc,,,,Không có,,,True,True,False,False,Cao,Cao,Dai,nan
639933,2022-04-07,2022,7.1,3589,True,53.571,137.0,,137,Gốc,70000000.0,,70000000,Gốc,69633110.0,,69633110,Gốc,-366890,0.9947587142857143,True,True,True,False,Cao,Cao,Dai,Cao
522938,2019-09-19,2019,6.521,3535,True,46.016,89.0,,89,Gốc,50000000.0,,50000000,Gốc,91490353.0,,91490353,Gốc,41490353,1.82980706,True,True,True,False,Trung binh,Cao,Ngan,Cao
14756,2008-12-12,2008,7.8,3444,True,14.247,106.0,,106,Gốc,11715578.0,,11715578,Gốc,22108789.0,,22108789,Gốc,10393211,1.887127463962939,True,True,True,False,Cao,Cao,Dai,Trung binh
396371,2017-12-07,2017,7.154,3432,True,16.556,140.0,,140,Gốc,30000000.0,,30000000,Gốc,59284015.0,,59284015,Gốc,29284015,1.9761338333333334,True,True,True,False,Cao,Cao,Dai,Cao
11423,2003-05-02,2003,8.066,3351,True,29.117,131.0,,131,Gốc,2800000.0,,2800000,Gốc,26000000.0,,26000000,Gốc,23200000,9.285714285714286,True,True,True,False,Cao,Cao,Dai,Trung binh
290098,2016-06-01,2016,8.246,3299,True,55.173,145.0,,145,Gốc,8575000.0,,8575000,Gốc,38600000.0,,38600000,Gốc,30025000,4.501457725947522,True,True,True,False,Cao,Cao,Dai,Cao
458576,2020-12-03,2020,6.647,3023,True,40.804,104.0,,104,Gốc,60000000.0,,60000000,Gốc,42145959.0,,42145959,Gốc,-17854041,0.70243265,True,True,True,False,Trung binh,Cao,Trung binh,Cao
146,2000-07-06,2000,7.409,2914,True,25.021,120.0,,120,Gốc,17000000.0,,17000000,Gốc,213525736.0,,213525736,Gốc,196525736,12.560337411764706,True,True,True,False,Cao,Cao,Dai,Cao
516486,2020-07-10,2020,7.419,2571,True,23.324,91.0,,91,Gốc,50300000.0,,50300000,Gốc,,,,Không có,,,True,True,False,False,Cao,Cao,Trung binh,nan
1255,2006-07-27,2006,6.982,2520,True,23.431,119.0,,119,Gốc,11000000.0,,11000000,Gốc,88489643.0,,88489643,Gốc,77489643,8.044513,True,True,True,False,Trung binh,Cao,Dai,Cao
